time_s,x_m,y_m,z_m,dist_m
13.767,0.881254,1.585496,5.524212,471.403999
13.800,-0.865263,-1.543170,5.527202,474.987138
13.833,0.927664,1.558214,5.475017,478.569860
13.867,0.987991,1.550615,5.488375,478.632113
13.900,-0.896265,-1.459572,5.561866,482.184161
13.933,-1.088825,-1.398235,5.507009,482.393568
13.967,-0.979766,-1.458676,5.495073,482.518825
14.000,-1.063004,-1.472343,5.466347,482.607934
14.033,0.896317,1.511973,5.476139,486.177973
14.067,0.884429,1.457841,5.471785,486.233566
14.100,-0.963177,-1.494884,5.444929,489.716805
14.133,-0.809144,-1.354206,5.520155,489.938560
14.167,-0.909471,-1.524785,5.410520,490.164795
14.200,0.838633,1.457643,5.478327,493.622445
14.233,0.882747,1.582564,5.403509,493.774593
14.267,-0.923070,-1.521852,5.395216,497.366034
14.300,0.821925,1.570176,5.384461,500.916493
14.333,0.888290,1.501549,5.406510,501.014474
14.367,-1.017963,-1.577852,5.296594,504.637814
14.400,-0.978170,-1.569258,5.334143,504.693196
14.433,-0.746557,-1.526143,5.364206,504.930698
14.467,0.928379,1.526590,5.324518,508.412962
14.500,-0.881338,-1.560013,5.338890,511.991006
14.533,0.871257,1.632523,5.285313,515.633361
14.567,-0.922541,-1.639033,5.275715,519.364431
14.600,0.918702,1.535909,5.292033,523.034676
14.633,0.862386,1.681094,5.221796,523.205508
14.667,-0.836492,-1.577018,5.264120,526.880188
14.700,0.829164,1.665178,5.226042,530.525417
14.733,0.889186,1.675711,5.178821,530.602510
14.767,1.065338,1.649682,5.169969,530.780795
14.800,0.973481,1.719191,5.130345,530.902611
14.833,-0.962871,-1.660872,5.161874,534.798157
14.867,0.946226,1.769590,5.062133,538.725327
14.900,-1.057278,-1.691481,5.079669,542.724495
14.933,0.946541,1.816458,5.028769,546.764732
14.967,-1.195293,-1.595168,5.064298,550.793119
15.000,1.059518,1.764541,5.026332,554.839507
15.033,-1.080158,-1.633982,5.052232,558.855579
15.067,1.073639,1.791206,4.966469,562.902566
15.100,1.172563,1.711170,4.977142,563.030260
15.133,-1.179062,-1.732593,4.941620,567.200500
15.167,-1.227027,-1.692345,4.927847,567.264611
15.200,1.163376,1.706514,4.936866,571.419891
15.233,-1.251075,-1.760474,4.853999,575.645580
15.267,1.151315,1.782217,4.852000,579.926016
15.300,1.233020,1.760186,4.866224,580.011827
15.333,-1.277545,-1.711379,4.856191,584.296077
15.367,1.292077,1.745312,4.808179,588.603510
15.400,1.234341,1.691756,4.856507,588.695908
15.433,1.164330,0.258154,5.233036,590.179785
15.467,-1.285303,-1.672661,4.870675,593.319857
15.500,-1.270288,-1.752584,4.818972,593.416222
15.533,1.288301,1.654922,4.840446,597.677435
15.567,1.282775,1.743571,4.786661,597.781271
15.600,-1.203528,-1.724588,4.828507,602.048774
15.633,-1.288805,-1.701053,4.805383,602.140212
15.667,-1.299455,-1.717178,4.782829,602.169912
15.700,1.305262,1.698587,4.772561,606.465504
15.733,1.313894,1.706543,4.759420,606.483125
15.767,1.324478,1.726463,4.711672,606.535933
15.800,-1.320394,-1.698951,4.751054,610.863792
15.833,-1.277390,-1.691973,4.744382,610.907867
15.867,-1.269517,-1.674689,4.753513,610.928940
15.900,-1.324288,-1.651257,4.733058,610.991926
15.933,-1.305778,-1.588156,4.764437,611.064789
15.967,-1.299326,-1.651607,4.721091,611.141903
16.000,1.302750,1.605341,4.733674,615.310676
16.033,-1.247035,-1.718331,4.682436,619.500047
16.067,-1.180271,-1.729987,4.692023,619.568496
16.100,-1.229546,-1.674315,4.723365,619.649179
16.133,1.186426,1.677158,4.747684,623.780750
16.167,-1.206226,-1.708223,4.743934,627.926302
16.200,-1.200898,-1.733287,4.736508,627.952980
16.233,1.108683,1.741701,4.757618,632.125528
16.267,-1.139337,-1.657134,4.788278,636.200650
16.300,1.057241,1.766813,4.761284,640.268708
16.333,1.073778,1.629636,4.828763,640.422476
16.367,1.059546,1.664764,4.810584,640.464512
16.400,1.113550,1.676944,4.800132,640.520851
16.433,-1.037543,-1.631393,4.856285,644.467426
16.467,1.027029,1.625124,4.853137,648.323249
16.500,-1.049764,-1.563449,4.835331,652.128559
16.533,-1.025020,-1.513755,4.868414,652.193183
16.567,-1.062456,-1.512616,4.849922,652.234952
16.600,1.019732,1.540008,4.868500,655.930134
16.633,0.948213,1.538533,4.886991,656.004020
16.667,0.937336,1.587258,4.848282,656.067193
16.700,1.005974,1.546115,4.868502,656.149732
16.733,0.977977,1.612437,4.832454,656.230242
16.767,0.939503,1.565526,4.871321,656.302295
16.800,0.875892,1.534852,4.890445,656.375458
